Iteration,Residual,A,n,E
1,8.936197554564655,-14.124301194949393,-2.0407092000210962,9.761991433543155
2,0.7440259018179664,-13.913508665882516,-1.9777473226552114,9.853240626369297
3,0.33093338208719936,-13.45685585062917,-1.4499626688695162,9.768337844520095
4,0.24084791554332186,-4.786333851830898,-1.0195545356690527,9.111156796990956
5,0.24084791554332186,-4.786333851830898,-1.0195545356690527,9.111156796990956
6,0.24084791554332186,-4.786333851830898,-1.0195545356690527,9.111156796990956
7,0.24084791554332186,-4.786333851830898,-1.0195545356690527,9.111156796990956
8,0.21573574759644615,-5.907552268508034,-1.0811820542525992,9.259686817890143
9,0.2049840465888387,-5.907552268508034,-1.0967675892100726,9.259686817890143
10,0.2049840465888387,-5.907552268508034,-1.0967675892100726,9.259686817890143
11,0.19084809342422618,-6.069155650603752,-1.0967675892100726,9.259686817890143
12,0.19001451245028642,-6.069155650603752,-1.0967675892100726,9.260684594282754
13,0.1899051015868684,-6.066808330298311,-1.0967675892100726,9.260684594282754
14,0.1899051015868684,-6.066808330298311,-1.0967675892100726,9.260684594282754
15,0.18955552028255998,-6.066808330298311,-1.0967675892100726,9.263866269973516
16,0.18844082792061792,-6.131403916309671,-1.0909249208080454,9.263866269973516
17,0.18693122867925924,-6.066808330298311,-1.08719763579548,9.260684594282754
18,0.18693122867925924,-6.066808330298311,-1.08719763579548,9.260684594282754
19,0.18693122867925924,-6.066808330298311,-1.08719763579548,9.260684594282754
20,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
21,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
22,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
23,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
24,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
25,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
26,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
27,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
28,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
29,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
30,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
31,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
32,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
33,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
34,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
35,0.13796724075556677,-5.692339782287032,-0.8479141329112924,9.169544511115276
36,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
37,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
38,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
39,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
40,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
41,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
42,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
43,0.1329502898591924,-6.0788746898641515,-0.7450033604644666,9.159200118172464
44,0.12313806791556757,-5.6822606005068295,-0.7745718964820913,9.141982548136024
45,0.12313806791556757,-5.6822606005068295,-0.7745718964820913,9.141982548136024
46,0.1231094076212195,-5.642349306737911,-0.7745718964820913,9.141982548136024
47,0.12273479294671193,-5.665013791851364,-0.7745718964820913,9.141982548136024
48,0.12249379155384843,-5.686671323320306,-0.7718910568782356,9.141982548136024
49,0.12249379155384843,-5.686671323320306,-0.7718910568782356,9.141982548136024
50,0.12248297444099952,-5.686671323320306,-0.7718532627714442,9.141982548136024
51,0.12248297444099952,-5.686671323320306,-0.7718532627714442,9.141982548136024
52,0.12234896414387478,-5.6817297614667375,-0.7718532627714442,9.141982548136024
53,0.12230985428292313,-5.679744035706506,-0.7718532627714442,9.141978623964876
54,0.12220185487816274,-5.67751656186729,-0.7715404900557981,9.141990207839118
55,0.0981920146951493,-5.394961726496907,-0.6021759339710324,9.066726196167291
