Iteration,Residual,Ah,nh,Eh
1,3.5328364395929124,-13.447729939360512,-2.1554354934256788,9.816439495065858
2,1.3173937683199355,-17.751968446323648,-0.4880891772526881,9.807466347461386
3,1.3173937683199355,-17.751968446323648,-0.4880891772526881,9.807466347461386
4,0.862748648436783,-13.447729939360512,-1.7721522789556965,9.803201531000362
5,0.788361345806829,-15.14133336277931,-1.189164696529125,9.802202930552458
6,0.7077940441689838,-17.751968446323648,-0.4027814553451291,9.808826339573184
7,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
8,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
9,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
10,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
11,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
12,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
13,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
14,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
15,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
16,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
17,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
18,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
19,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
20,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
21,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
22,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
23,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
24,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
25,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
26,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
27,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
28,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
29,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
30,0.6904811241030033,-17.751968446323648,-0.37046138671171425,9.810257201400464
31,0.6731833609026756,-11.9729746295304,-1.5199496112433877,9.6959707856667
32,0.6593938392612754,-12.103900924132049,-1.5199496112433877,9.70065350057198
33,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
34,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
35,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
36,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
37,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
38,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
39,0.6529794594331518,-12.02513611991155,-1.5157100689375747,9.6959707856667
