Iteration,Residual,A,n,E,Teq,k,w,C0,xf
1,0.6805881706927677,-7.711219183744384,-0.3784448326051831,9.208922867179037,750.8037069686584,0.012464418931248455,-5.773614750749474,8.935529525980606,0.7395618906669724
2,0.6560239266345875,-7.632300396026269,-0.3112913905562684,9.190534957116821,694.6491436327233,0.1030654118290498,-6.208088217410127,8.348106376367557,0.7372490874968001
3,0.42590506090863756,-7.797321016729522,-0.3684052734076588,9.205000774216618,791.8281274685254,0.08264999967378212,-6.922899447518516,8.188610709180892,0.6585855746091162
4,0.42590506090863756,-7.797321016729522,-0.3684052734076588,9.205000774216618,791.8281274685254,0.08264999967378212,-6.922899447518516,8.188610709180892,0.6585855746091162
5,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
6,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
7,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
8,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
9,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
10,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
11,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
12,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
13,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
14,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
15,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
16,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
17,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
18,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
19,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
20,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
21,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
22,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
23,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
24,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
25,0.3880396569473701,-7.744372502594999,-0.3730176660623743,9.20444234617735,793.206386017644,0.08264999967378212,-6.953404293860333,8.184280380312552,0.6585855746091162
