Iteration,Residual,A1,n1,E1,Ah,nh,Eh,Teq,k,w,C0,xf
1,3.6148850235998387,-8.601908898452194,-0.5925396262670117,9.634496892901172,-10.986933725014962,-1.4445184510999634,9.556507908134217,861.8722310957028,0.08291020552112627,-0.6733091302852827,9.010569361616314,1.0045369595443752
2,0.8758257916680503,-8.780107914691621,-0.6539323737029503,9.510723384203558,-10.949754824870093,-1.4745028577847712,9.565084218543548,864.6982160509401,0.0730583461022494,-0.5106277988357903,9.032850112678876,0.948016004035291
3,0.8758257916680503,-8.780107914691621,-0.6539323737029503,9.510723384203558,-10.949754824870093,-1.4745028577847712,9.565084218543548,864.6982160509401,0.0730583461022494,-0.5106277988357903,9.032850112678876,0.948016004035291
4,0.8758257916680503,-8.780107914691621,-0.6539323737029503,9.510723384203558,-10.949754824870093,-1.4745028577847712,9.565084218543548,864.6982160509401,0.0730583461022494,-0.5106277988357903,9.032850112678876,0.948016004035291
5,0.8758257916680503,-8.780107914691621,-0.6539323737029503,9.510723384203558,-10.949754824870093,-1.4745028577847712,9.565084218543548,864.6982160509401,0.0730583461022494,-0.5106277988357903,9.032850112678876,0.948016004035291
6,0.8758257916680503,-8.780107914691621,-0.6539323737029503,9.510723384203558,-10.949754824870093,-1.4745028577847712,9.565084218543548,864.6982160509401,0.0730583461022494,-0.5106277988357903,9.032850112678876,0.948016004035291
7,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
8,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
9,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
10,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
11,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
12,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
13,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
14,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
15,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
16,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
17,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
18,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
19,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
20,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
21,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
22,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
23,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
24,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
25,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
26,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
27,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
28,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
29,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
30,0.2831291595612542,-8.575608917354089,-0.698183452351322,10.095524431578095,-11.081252984710524,-1.4506748992092768,9.601168308317735,816.7743866325164,0.07322077603303791,-0.8161565668788032,8.645115739665544,1.020495116767631
